Start(hh:mm:ss.sss)	End(hh:mm:ss.sss)
00:00:00.000	00:00:23.446
00:00:23.446	00:00:40.700
00:00:40.700	00:00:54.876
00:00:54.876	00:01:12.017
00:01:12.017	00:01:31.593
00:01:31.593	00:01:53.856
00:01:53.856	00:02:03.585
00:02:03.585	00:02:12.574
00:02:12.574	00:02:37.823
00:02:37.823	00:02:48.073
00:02:48.073	00:02:57.074
00:02:57.074	00:03:01.323
00:03:01.323	00:03:11.320
00:03:11.320	00:03:23.572
00:03:23.572	00:03:46.073
00:03:46.073	00:03:54.075
00:03:54.075	00:04:20.072
00:04:20.072	00:04:45.075
00:04:45.075	00:04:50.575
00:04:50.575	00:05:23.073
00:05:23.073	00:05:28.326
00:05:28.326	00:05:33.572
00:05:33.572	00:05:43.325
00:05:43.325	00:05:49.775
00:05:49.775	00:06:11.155
00:06:11.155	00:06:36.220
00:06:36.220	00:06:48.106
00:06:48.106	00:06:54.440
00:06:54.440	00:07:00.365
00:07:00.365	00:07:19.306
00:07:19.306	00:07:42.600
00:07:42.600	00:07:44.980
00:07:44.980	00:08:02.875
00:08:02.875	00:08:24.326
00:08:24.326	00:08:40.386
00:08:40.386	00:08:52.479
00:08:52.479	00:09:32.108
00:09:32.108	00:09:46.290
00:09:46.290	00:09:51.140
00:09:51.140	00:10:02.285
00:10:02.285	00:10:28.056
00:10:28.056	00:10:37.145
00:10:37.145	00:10:48.980
00:10:48.980	00:11:12.740
00:11:12.740	00:11:28.834
00:11:28.834	00:11:41.884
00:11:41.884	00:12:04.426
00:12:04.426	00:12:46.233
00:12:46.233	00:13:44.010
00:13:44.010	00:14:31.453
00:14:31.453	00:14:39.143
00:14:39.143	00:14:48.194
00:14:48.194	00:15:07.893
00:15:07.893	00:15:34.588
00:15:34.588	00:15:52.055
00:15:52.055	00:16:13.159
00:16:13.159	00:16:59.962
00:16:59.962	00:17:23.706
00:17:23.706	00:17:34.317
00:17:34.317	00:18:05.997
00:18:05.997	00:18:14.059
00:18:14.059	00:18:57.279
00:18:57.279	00:19:35.037
00:19:35.037	00:19:38.720
00:19:38.720	00:20:37.343
00:20:37.343	00:20:53.520
00:20:53.520	00:21:03.487
00:21:03.487	00:21:09.894
00:21:09.894	00:21:39.446
00:21:39.446	00:21:43.145
00:21:43.145	00:21:46.968
00:21:46.968	00:22:09.050
00:22:09.050	00:22:12.098
00:22:12.098	00:22:20.643
00:22:20.643	00:22:40.302
00:22:40.302	00:22:57.760
00:22:57.760	00:23:07.611
00:23:07.611	00:23:45.410
00:23:45.410	00:23:48.053
00:23:48.053	00:23:54.375
00:23:54.375	00:24:14.919
00:24:14.919	00:24:22.288
00:24:22.288	00:24:33.606
00:24:33.606	00:24:42.829
00:24:42.829	00:25:07.116
00:25:07.116	00:25:22.947
00:25:22.947	00:26:03.384
00:26:03.384	00:26:11.477
00:26:11.477	00:26:26.530
00:26:26.530	00:26:33.014
00:26:33.014	00:27:02.648
00:27:02.648	00:27:11.256
00:27:11.256	00:27:33.354
00:27:33.354	00:27:55.697
00:27:55.697	00:28:21.683
00:28:21.683	00:28:37.941
00:28:37.941	00:28:57.001
00:28:57.001	00:29:20.023
00:29:20.023	00:29:34.115
00:29:34.115	00:29:55.819
00:29:55.819	00:30:15.799
00:30:15.799	00:30:33.658
00:30:33.658	
